OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(3014208k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35677K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd7650,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7659K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
5: [GC (Allocation Failure) [PSYoungGen: 67120K->1552K(66048K)] 67152K->1592K(241152K), 0,0015491 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
1,389: [GC (Allocation Failure) [PSYoungGen: 65552K->1584K(72704K)] 65592K->1632K(247808K), 0,0019520 secs] [Times: user=0,01 sys=0,00, real=0,00 secs] 
1,490: [GC (Allocation Failure) [PSYoungGen: 70192K->96K(72704K)] 70240K->1684K(247808K), 0,0018971 secs] [Times: user=0,01 sys=0,00, real=0,00 secs] 
1,589: [GC (Allocation Failure) [PSYoungGen: 68704K->96K(141312K)] 70292K->1700K(316416K), 0,0004744 secs] [Times: user=0,00 sys=0,01, real=0,00 secs] 
1,818: [GC (Allocation Failure) [PSYoungGen: 137312K->96K(133120K)] 138916K->1700K(308224K), 0,0004826 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
2,005: [GC (Allocation Failure) [PSYoungGen: 132704K->96K(129024K)] 134308K->1700K(304128K), 0,0005490 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
2,184: [GC (Allocation Failure) [PSYoungGen: 128608K->96K(128512K)] 130212K->1716K(303616K), 0,0006517 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
2,360: [GC (Allocation Failure) [PSYoungGen: 124512K->32K(121344K)] 126132K->1652K(296448K), 0,0007331 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
2,529: [GC (Allocation Failure) [PSYoungGen: 120864K->64K(121344K)] 122484K->1700K(296448K), 0,0005308 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
2,693: [GC (Allocation Failure) [PSYoungGen: 117312K->96K(114176K)] 118948K->1732K(289280K), 0,0005944 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
2,851: [GC (Allocation Failure) [PSYoungGen: 113760K->64K(113664K)] 115396K->1708K(288768K), 0,0006423 secs] [Times: user=0,00 sys=0,00, real=0,00 secs] 
